url,locs
"https://github.com/caxtontaylor/fromdatabasetoh5p.git",26944
"https://github.com/cbfbl/proj369.git",17139
"https://github.com/cbsone/stinger-explorer.git",18073
"https://github.com/ccca-dc/ckanext-thredds.git",168000
"https://github.com/cccoast/webui.git",28881
"https://github.com/cdking007/chirags-blog.git",19145
"https://github.com/ceefee/mirrors-layui.git",32787
"https://github.com/cerkinfo/site.git",8050
"https://github.com/terracota-p/javascript-playground.git",26846
"https://github.com/chakra-core/chakracore.git",2739671
"https://github.com/charmainelohsiying/cs2102-task-sharing-application.git",638430
"https://github.com/charvigupta/apachesuperset_edit.git",129942
"https://github.com/chialuka/banka-app.git",13612
"https://github.com/chinhphan099/blogspot.git",23340
"https://github.com/chinwailun/talkabout.git",4855
"https://github.com/chirimen-oh/chirimen-micro-bit.git",9026
"https://github.com/chrisget/stbcontroller.git",177644
"https://github.com/chrishalley/nodeci.git",19058
"https://github.com/chrishj59/nodeci.git",21404
"https://github.com/christian-sugianto/curio-frontend.git",32045
"https://github.com/chromedia-design/spoke-admin-markup.git",2625857
"https://github.com/cityscope/cs_cityscopejs.git",6817
"https://github.com/cjfinnell/reactnd-project-myreads.git",15479
"https://github.com/ckeyer/sublime-config.git",1347723
"https://github.com/cl7799/-.git",168377
"https://github.com/clach04/html_cardpen_mirror.git",16098
"https://github.com/claflamme/ld-test.git",10490
"https://github.com/clagomess/mapa-brasil.git",9131
"https://github.com/clemsonchoirs/website.git",38370
"https://github.com/cloudinary/cloudinary_npm.git",23727
"https://github.com/cloudxtreme/cloudron-cli.git",6070
"https://github.com/clpena/whats-new.git",14622
"https://github.com/cmarabate/gatsby-starter-i18n-bulma.git",5044
"https://github.com/cngjsskaisme/exchange-react-native.git",34580
"https://github.com/codebattlecommunity/codebattle-kvant-game-land-capture.git",75112
"https://github.com/codeceptjs/codeceptjs.git",52301
"https://github.com/codeelves/react-image-annotation.git",20173
"https://github.com/codenation-dev/squad-1-ad-react-softplan-1.git",19393
"https://github.com/cody-brock/toy-problems.git",129864
"https://github.com/cointobanks/lifetioncore-ui.git",8065
"https://github.com/colesnyder/colesnyder.github.io.git",30866
"https://github.com/colink96/break.gg.git",12547
"https://github.com/colink96/vuecommerce.git",13798
"https://github.com/collabcodetech/training-auth.git",10141
"https://github.com/complat/react-spectra-editor.git",139336
"https://github.com/conanexile/conanexile.git",24679
"https://github.com/copperfield013/deprecated_datacenter.git",165037
"https://github.com/corbifex/lisk-roulette.git",18434
"https://github.com/cordierben/git-learning.git",13151
"https://github.com/courajs/recurse-graph-wiki.git",9196
"https://github.com/cptbang/matcha.git",642607
"https://github.com/cradical/apollo-space-app.git",55729
"https://github.com/crescens/townsquare.git",81612
"https://github.com/croanlabs/backend-futurities.git",9337
"https://github.com/cs17b011/mindsprint.git",17883
"https://github.com/ctschulmeister/familypanel.git",39008
"https://github.com/cwhinfrey/tidbit.git",19515
"https://github.com/cyberlab02/webgoat-harsha.git",194115
"https://github.com/d3alek/zelenik.git",14408
"https://github.com/d3kion/monuments-app.git",11662
"https://github.com/dailybruin/rotc-2016.git",12065
"https://github.com/danfrenette/sickfits.git",56294
"https://github.com/danfyfe/donde_front_end.git",17875
"https://github.com/danhiggins23/hi.git",14717
"https://github.com/danielandro/wintellectwebinars.git",613688
"https://github.com/danielballan/jupyter-at-bnl.git",23762
"https://github.com/danielclough/danielc.us-gatsby.git",33806
"https://github.com/danielkolodziej/portfolio.git",15154
"https://github.com/dannybarker/hair-shop-cap.git",16717
"https://github.com/daokedao1/leanproduction.git",33596
"https://github.com/dardansojeva/demochattestincloud.git",69375
"https://github.com/darryl-snow/perfect-cookie.git",24333
"https://github.com/dav3rid/be-nc-news.git",5387
"https://github.com/davidlee0216/swoosh.git",89129
"https://github.com/davidlopezamm/robofestmx.git",17831
"https://github.com/davidsharff/live-hand-tracker.git",3608
"https://github.com/dbajric/dreamhouse-lwc.git",4894
"https://github.com/dc-js/dc.js.git",55578
"https://github.com/dean-draper/wdio-cucumber.git",14198
"https://github.com/decyjphr-org/actions-training.git",19738
"https://github.com/deepakexodia/shoppers1.git",71102
"https://github.com/dejung55/travel-compass.git",169465
"https://github.com/dennyshi5126/utcaa-backend.git",9038
"https://github.com/denysbraun85/wtg-.git",1435298
"https://github.com/dermyhughes/gatsby-ghost-blog.git",25749
"https://github.com/derulo-json/json-derulo.git",12357
"https://github.com/desihub/qlf.git",25281
"https://github.com/desmondtoyus/gatsby-contentful-starter.git",2651
"https://github.com/developrfw/project-two.git",5564
"https://github.com/devgateway/amp-offline.git",56023
"https://github.com/devlinjunker/template.webpack.fend.git",228088
"https://github.com/devpointlabs/masterclass.git",23330
"https://github.com/dgomezg/sample-react.git",2374667
"https://github.com/dhavalmanjaria/dma-student-information-system.git",57834
"https://github.com/dhoman/git-er-done.git",23897
"https://github.com/dhowett/spectre.git",16839
"https://github.com/di0nys1s/dev-connector.git",20715
"https://github.com/dictadata/storage-junctions.git",43550
"https://github.com/didoni/scrbl.git",11025
"https://github.com/diegocasmo/workouter-web.git",9191
"https://github.com/diging/amphora.git",175447
"https://github.com/dim2k2006/frontend-project-lvl3.git",12982
"https://github.com/dinir/mini-padder.git",25376
"https://github.com/discord-botify/front-end.git",14789
"https://github.com/dmeedev/builderbookclone.git",35005
"https://github.com/dmytro-horbel/victor-hugo.git",12539
"https://github.com/do0ov/jukbox-fe.git",18696
"https://github.com/dobleamarilla/sanpedro.git",357595
"https://github.com/doc4d/rx.git",17003
"https://github.com/docusland/php-presentation-algo-bases.git",10228
"https://github.com/doncharest/cs673.git",31398
"https://github.com/doria-devops/github-actions-continuous-delivery.git",9661
"https://github.com/dotkom/the-notifier-awakens.git",8624
"https://github.com/doxxy1/matchme-.git",8247
"https://github.com/dream-peddler/dreams.git",11731
"https://github.com/drweizak/react-webpack.git",7802
"https://github.com/ds-wizard/dsw-e2e-tests.git",32664
"https://github.com/dubfactor/xpress.git",54026
"https://github.com/dudleycarr/nsqjs.git",6087
"https://github.com/duffwang/magicmirror.git",23989
"https://github.com/dunn-austen/overlook.git",11131
"https://github.com/duosoftware/dvp-campaignmanager.git",6545
"https://github.com/dylanburkey/dylans-cms.git",25082
"https://github.com/ebeneshmarticlues/full-stack-web-development.git",6558
"https://github.com/ecofintech/confoederatio-dex.git",193810
"https://github.com/ecomfe/san-cli.git",28161
"https://github.com/ecomplus/admin.git",475899
"https://github.com/edba5/blog-adaware.git",25080
"https://github.com/eddgr/fooder-frontend.git",15240
"https://github.com/edlsto/whats-new.git",14584
"https://github.com/eduardothomas/reactnd-contacts-app.git",15487
"https://github.com/egichuhis/myportfoliosite.git",4535
"https://github.com/ej091299/history117.git",10918
"https://github.com/ekoshiro16/graceshopper.git",11960
"https://github.com/elascalla/ischoolde.git",39978
"https://github.com/eldinzaimovic/euphoric-voyage.git",20554
"https://github.com/eleerogers/campsiter.git",20646
"https://github.com/elghayatesalma/labinthewild_unintendedconsequences.git",49012
"https://github.com/eminx/anthropocene.git",9879
"https://github.com/emoteb28/geoquizz.git",1474451
"https://github.com/enbro/soho-http-api.git",13361
"https://github.com/entitysmartmirror/airporthelpertest.git",512013
"https://github.com/erathosthemesammoroteam/track-communities.git",56484
"https://github.com/erik-krogh/sudoslider.git",17371
"https://github.com/es-community/ex-luminous.git",13302
"https://github.com/esarafianou/auth0.js-fork.git",31234
"https://github.com/esriuk/worldview.git",22970
"https://github.com/estudioyobo/site.git",91860
"https://github.com/evan-otero/simple_counter_with_react.git",14462
"https://github.com/evanbaker68/petfinder.git",26444
"https://github.com/evert-platform/evertbase.git",9758
"https://github.com/exapsy/e-logistics.git",415922
"https://github.com/excursion-app/excursion.git",29495
"https://github.com/executablebooks/sphinx-copybutton.git",6159
"https://github.com/exhuma/python-course-basic.git",23761
"https://github.com/expressjs/express.git",23270
"https://github.com/skystash/shard-docs.git",41773
"https://github.com/fac-graduate-programme/nova-foundation.git",23455
"https://github.com/facebook/create-react-app.git",155479
"https://github.com/facebook/react-native.git",544240
"https://github.com/facebook/react.git",471755
"https://github.com/facorreiaa/programacaoweb.git",20312
"https://github.com/facuj/gatsby-starter-tailwind.git",22248
"https://github.com/facxbeamery/project-week-7.git",24999
"https://github.com/faranheit15/faran-tech-blog.git",19143
"https://github.com/farookbe/mosque-screen.git",13200
"https://github.com/fattylee/fattylee-storybook.git",8969
"https://github.com/fb-chatreader/backend.git",10875
"https://github.com/featherbear/unsw-comp6441-rattata.git",16638
"https://github.com/feisty-flintstones/playground.git",16485
"https://github.com/felixwieland/inez.git",16640
"https://github.com/firstake/local-barbershop.git",22136
"https://github.com/1mid/bot-user-interface.git",66370
"https://github.com/fjarik/zoliky.git",318982
"https://github.com/flailingmaster/commitchallenge.git",9461
"https://github.com/flchy/flchy.github.io.git",882
"https://github.com/flixflix/mymoney.git",119341
"https://github.com/florian-hub/react-train.git",25295
"https://github.com/flyingbig/3dcommunity.git",14818
"https://github.com/foodin/foodin.github.io.git",16279
"https://github.com/foraliving/foraliving_v0.git",5018
"https://github.com/forfansubs/front-end.git",8546
"https://github.com/forstalabs/forsta-message-vault.git",32269
"https://github.com/fourstar04/gatsby-starter-netlify-cms.git",22720
"https://github.com/francelabs/datafari.git",536919
"https://github.com/fredsantos101/biggeo.git",1870643
"https://github.com/frodofarhani/react-boilerplate.git",26189
"https://github.com/frodofarhani/react-starter-kit.git",4348
"https://github.com/frontdevtest/coursera.git",94984
"https://github.com/fsa-2001-chi-dill/graced-pickles.git",14142
"https://github.com/fsvaos/vaos.git",349647
"https://github.com/fuadguluzade/forum-app-project2.git",18731
"https://github.com/fusionbox/django-widgy.git",47140
"https://github.com/g1y/crime-map.git",8535
"https://github.com/gabbloquet/arbre-de-lespoir.git",22325
"https://github.com/gabrieldissotti/learning-rocketseat-gostack.git",1209099
"https://github.com/gabrieleluz/notes.git",15306
"https://github.com/galaxicdrones/friendslauncher.git",13993
"https://github.com/gamegenesis01/modmail.git",8192
"https://github.com/gameinfo-cc/gamesfaves.git",12607
"https://github.com/gatsbify/thecourierguy.co.za.git",3516
"https://github.com/gauravtiwari/graphql-server-examples.git",111547
"https://github.com/gawesomebot/bot.git",58380
"https://github.com/neiist-dev/gce-neiist-webapp.git",17599
"https://github.com/gemdiamonds/etherwallet.git",45446
"https://github.com/gemofort/fix-me-bruh-back-end.git",8650
"https://github.com/generalelectrix/wiggles.git",382731
"https://github.com/geofftidey/tidey.net.git",14695
"https://github.com/georgedumontier/advanced-react.git",59281
"https://github.com/gg4210/teamproj.git",80771
"https://github.com/dianfanguo233/uctoo_backup.git",502455
"https://github.com/gimorhee/plateau.git",21764
"https://github.com/gjulka/cryptosite-client.git",18453
"https://github.com/gnn06/gnn-react-googlephotosalbumselector.git",15357
"https://github.com/gokulnathp/f40-sm.git",16479
"https://github.com/goodyint/gavinpower.com.git",24092
"https://github.com/googlechromelabs/carlo.git",4046
"https://github.com/goosey13/bitcore-broteq.git",228823
"https://github.com/grace-chopper/grace-chopper.git",14718
"https://github.com/greaspace-beijing/fabric-samples.git",47611
"https://github.com/green-fox-academy/x566chen.git",615327
"https://github.com/gregwiechec/wiola-website.git",2008
"https://github.com/gsantella/se-group.git",5422
"https://github.com/gt4w-consultoria/vue-form-generator-gt4w.git",27977
"https://github.com/gturcat/test_guillaume_turcat.git",90989
"https://github.com/gustavoernandes/gatsby-starter-netlify-cms.git",2008
"https://github.com/gzh51907/khly.git",21172
"https://github.com/hackbrowser/hackbrowser.git",6392
"https://github.com/hahalulu/react-admin.git",55172
"https://github.com/hakimel/reveal.js.git",32918
"https://github.com/halvadar/archos.git",21184
"https://github.com/handsontable/jstat.git",12420
"https://github.com/hecenjie/experimentalreportsystem.git",155968
"https://github.com/heliosampe/uno.git",7763
"https://github.com/hello-cockatiel-2019/hellocockatiel-pr.git",16154
"https://github.com/helloryantg/task-app.git",292261
"https://github.com/hemsinghlearninginfo/hps-1.0.0.git",27903
"https://github.com/hengg/js-walker.git",88872
"https://github.com/herry-k/jitsi-meet-in.git",197993
"https://github.com/hiiamyes/frontend-cookbook.git",7522
"https://github.com/hoangle4/trans4mationnow.git",22366
"https://github.com/home-de-pott/search-and-nav-bar.git",16080
"https://github.com/howardlee93/calmanage.git",17485
"https://github.com/hsdonkin/pokemon-pokedex.git",10177
"https://github.com/huynguyenhai/cat-chat.git",8350
"https://github.com/hvuj/release-based-workflow.git",774
"https://github.com/hwjb113/pizzaboys.git",120460
"https://github.com/hereon-wpi/pre-experiment-data-collector.git",18604
"https://github.com/i-maxyuan/alcpt.git",231217
"https://github.com/i3bar/core.git",6618
"https://github.com/iamharrytran/react-csv.git",149998
"https://github.com/iamskok/netlify-cms-gatsby.git",24413
"https://github.com/ibericode/boxzilla-wp.git",29945
